iter	RMSE
0	16.96470743
1	15.27490706
2	13.75449629
3	12.38574457
4	11.15331213
5	10.04432463
6	9.045967552
7	8.148620682
8	7.341312267
9	6.614582228
10	5.961292557
11	5.373727863
12	4.845643566
13	4.371954104
14	3.943265148
15	3.557971863
16	3.214458057
17	2.90609343
18	2.628016978
19	2.377078917
20	2.152247849
21	1.953721594
22	1.775354972
23	1.613171676
24	1.468715638
25	1.335003755
26	1.214472684
27	1.110982016
28	1.015326487
29	0.9300212214
30	0.8541489866
31	0.7869687667
32	0.7276468258
33	0.6759106631
34	0.6312284942
35	0.5913772267
36	0.5552231817
37	0.5244668741
38	0.4951896744
39	0.4707191623
40	0.4494905622
41	0.4309530847
42	0.4147866057
43	0.4010571976
44	0.3899059703
45	0.3792922019
46	0.3698359847
47	0.3608455386
48	0.3532259018
49	0.3481146054
50	0.3428028662
51	0.3384447918
52	0.3338741887
53	0.3300315681
54	0.3278145236
55	0.3241934629
56	0.3226064573
57	0.320996906
58	0.3193207941
59	0.318066052
60	0.3164120686
61	0.314832558
62	0.3122816598
63	0.3101997133
64	0.3083918499
65	0.3080285148
66	0.3066737028
67	0.3062031147
68	0.3058502655
69	0.3049748836
70	0.3041159547
71	0.3034116401
72	0.3025602519
73	0.3022641194
74	0.3015589412
75	0.3009971298
76	0.2992536811
77	0.2987009428
78	0.2980920853
79	0.297863248
80	0.2976988859
81	0.2976087041
82	0.2969601864
83	0.2967966234
84	0.2967735305
85	0.2964186759
86	0.2962050359
87	0.2959055397
88	0.2945372222
89	0.2941403473
90	0.2940099816
91	0.2936626977
92	0.2934667593
93	0.2932173492
94	0.2931833813
95	0.2927934355
96	0.2927619928
97	0.2927418205
98	0.2926044899
99	0.2922725307
