iter	Passed	Remaining
0	70	6933
1	85	4177
2	114	3697
3	141	3395
4	165	3144
5	196	3082
6	222	2952
7	253	2915
8	272	2755
9	307	2771
10	332	2687
11	362	2658
12	389	2606
13	418	2569
14	443	2510
15	475	2497
16	505	2469
17	533	2428
18	550	2346
19	588	2352
20	612	2303
21	641	2272
22	668	2236
23	695	2202
24	725	2177
25	755	2149
26	786	2125
27	816	2099
28	844	2067
29	874	2039
30	905	2015
31	935	1988
32	966	1962
33	996	1934
34	1014	1883
35	1052	1871
36	1083	1845
37	1115	1819
38	1146	1792
39	1171	1757
40	1210	1742
41	1230	1698
42	1268	1682
43	1296	1650
44	1323	1617
45	1353	1589
46	1384	1560
47	1417	1535
48	1447	1506
49	1474	1474
50	1494	1436
51	1529	1412
52	1559	1383
53	1586	1351
54	1616	1322
55	1649	1296
56	1678	1266
57	1707	1236
58	1725	1198
59	1758	1172
60	1786	1141
61	1813	1111
62	1846	1084
63	1876	1055
64	1907	1027
65	1931	995
66	1971	971
67	1990	936
68	2025	909
69	2054	880
70	2072	846
71	2107	819
72	2133	789
73	2162	759
74	2192	730
75	2219	700
76	2253	673
77	2281	643
78	2311	614
79	2338	584
80	2364	554
81	2392	525
82	2423	496
83	2450	466
84	2472	436
85	2500	407
86	2527	377
87	2557	348
88	2588	319
89	2616	290
90	2641	261
91	2671	232
92	2698	203
93	2725	173
94	2754	144
95	2780	115
96	2805	86
97	2835	57
98	2862	28
99	2889	0
