iter	RMSE
0	16.96217336
1	15.27246297
2	13.75220912
3	12.38337721
4	11.15270709
5	10.04369035
6	9.045195532
7	8.147654276
8	7.340370672
9	6.613471873
10	5.960096809
11	5.372482685
12	4.844436543
13	4.37046139
14	3.942098245
15	3.55838535
16	3.215061823
17	2.906871433
18	2.628606724
19	2.377166752
20	2.151865453
21	1.953405642
22	1.77448298
23	1.611706611
24	1.467284739
25	1.333491734
26	1.212530194
27	1.107981091
28	1.012406424
29	0.927153636
30	0.8512641814
31	0.7841427607
32	0.7262440598
33	0.6731665852
34	0.6282627288
35	0.5882808737
36	0.5522385956
37	0.5212039384
38	0.4921758153
39	0.4680058728
40	0.4459802842
41	0.4279268571
42	0.4127926878
43	0.3988643594
44	0.3868793738
45	0.376605255
46	0.3675273483
47	0.3588402334
48	0.3509922365
49	0.3463156864
50	0.341398244
51	0.3370920609
52	0.3333110628
53	0.329163334
54	0.3269636567
55	0.3247564983
56	0.3218191902
57	0.3204521856
58	0.318869283
59	0.3162074149
60	0.3143776518
61	0.3115274012
62	0.3104193724
63	0.3095317916
64	0.3090252605
65	0.3064301689
66	0.3058661005
67	0.3049741823
68	0.3044921629
69	0.3042554455
70	0.3038682921
71	0.3032194602
72	0.3029548054
73	0.3023196215
74	0.3019769858
75	0.3017367656
76	0.3014269212
77	0.3006294617
78	0.3003827628
79	0.2997520777
80	0.2994184691
81	0.2991344804
82	0.2988839877
83	0.2985762478
84	0.2979782203
85	0.2978454989
86	0.2971007904
87	0.2968720516
88	0.2956524695
89	0.2944221293
90	0.2932596658
91	0.2929677098
92	0.2925605298
93	0.292462634
94	0.2916702502
95	0.2914882199
96	0.290128795
97	0.2900989938
98	0.2896879613
99	0.288933566
100	0.2888829929
101	0.288589556
102	0.2885232466
103	0.288278558
104	0.2878241263
105	0.2875426581
106	0.2875407154
107	0.2874441825
108	0.2871180679
109	0.2870650538
110	0.2869902247
111	0.2869646743
112	0.286651421
113	0.2858936684
114	0.2847877189
115	0.2844468835
116	0.2843264937
117	0.2841852737
118	0.2841340997
119	0.2837813768
120	0.2835735442
121	0.2834437845
122	0.2834128086
123	0.2831243682
124	0.2831218286
125	0.2831080076
126	0.2828257226
127	0.2826742348
128	0.2825811761
129	0.2825681682
130	0.2825550841
131	0.2825354576
132	0.2822132516
133	0.2822104604
134	0.2821399615
135	0.2821226548
136	0.2821118697
137	0.2819216635
138	0.2816656452
139	0.2816608661
140	0.2810146932
141	0.2810109809
142	0.2810078334
143	0.2807940147
144	0.2807248084
145	0.280714421
146	0.2805424803
147	0.28051969
148	0.2804129874
149	0.2804000422
150	0.2803969384
151	0.2800701976
152	0.2800470535
153	0.2799652628
154	0.2798418705
155	0.2798108631
156	0.2797221288
157	0.2795729276
158	0.2795725625
159	0.279485398
160	0.2793765794
161	0.2793150221
162	0.2784054289
163	0.2783010941
164	0.2776465675
165	0.2776456681
166	0.2776416811
167	0.2775591426
168	0.2775481327
169	0.2774565818
170	0.2774548081
171	0.2774495084
172	0.2774486783
173	0.2774484519
174	0.2765515725
175	0.2765452995
176	0.2765430061
177	0.2765429787
178	0.2765280963
179	0.2763528389
180	0.2761454481
181	0.2760929262
182	0.2760899334
183	0.2760820019
184	0.276024577
185	0.2760226028
186	0.2760214825
187	0.2760214795
188	0.2760208348
189	0.2760106726
190	0.2760079968
191	0.2759405426
192	0.2758691061
193	0.2758679844
194	0.2758063998
195	0.2756551794
196	0.2756473412
197	0.2751072329
198	0.2751059962
199	0.2750955061
200	0.2750955043
201	0.2750944977
202	0.2750935702
203	0.2750927156
204	0.2750919282
205	0.2749805747
206	0.274979852
207	0.2749120414
208	0.2749012078
209	0.2748893028
210	0.2748821919
211	0.2748806364
212	0.2748803017
213	0.2747939558
214	0.2747939555
215	0.2740715572
216	0.2740622182
217	0.2739918859
218	0.2738277825
219	0.2738277698
220	0.2738273211
221	0.2738273127
222	0.2738273059
223	0.273642553
224	0.2735610157
225	0.2732444178
226	0.2732433839
227	0.2732430142
228	0.2730346736
229	0.273034337
230	0.2728956586
231	0.2728900203
232	0.2727611546
233	0.2727609037
234	0.2727542655
