iter	Passed	Remaining
0	16	16163
1	31	15561
2	48	16160
3	63	15728
4	86	17114
5	106	17591
6	120	17091
7	163	20323
8	195	21535
9	230	22850
10	264	23780
11	302	24879
12	344	26122
13	381	26880
14	417	27385
15	447	27541
16	482	27901
17	517	28217
18	562	29028
19	600	29433
20	629	29337
21	658	29275
22	692	29407
23	732	29791
24	754	29408
25	786	29475
26	813	29318
27	848	29439
28	881	29510
29	910	29449
30	948	29640
31	989	29927
32	1020	29907
33	1046	29728
34	1070	29517
35	1102	29519
36	1119	29134
37	1151	29153
38	1187	29253
39	1220	29293
40	1249	29234
41	1275	29096
42	1301	28961
43	1332	28944
44	1354	28751
45	1378	28587
46	1394	28276
47	1411	27995
48	1428	27729
49	1443	27433
50	1459	27163
51	1476	26926
52	1493	26687
53	1511	26480
54	1526	26224
55	1543	26011
56	1567	25927
57	1582	25707
58	1597	25484
59	1614	25298
60	1651	25417
61	1679	25414
62	1703	25341
63	1729	25295
64	1759	25305
65	1799	25471
66	1826	25428
67	1847	25322
68	1869	25218
69	1895	25181
70	1917	25095
71	1943	25047
72	1963	24937
73	1993	24941
74	2028	25015
75	2061	25058
76	2083	24970
77	2108	24926
78	2131	24847
79	2160	24844
80	2182	24762
81	2208	24719
82	2231	24654
83	2270	24757
84	2287	24622
85	2302	24467
86	2317	24319
87	2332	24169
88	2351	24065
89	2369	23960
90	2385	23831
91	2400	23690
92	2416	23563
93	2435	23477
94	2456	23397
95	2486	23416
96	2521	23470
97	2531	23302
98	2556	23265
99	2580	23221
100	2612	23258
101	2634	23192
102	2669	23251
103	2696	23231
104	2720	23187
105	2744	23146
106	2760	23035
107	2782	22979
108	2809	22963
109	2836	22949
110	2869	22984
111	2892	22933
112	2919	22920
113	2946	22897
114	2974	22892
115	2997	22841
116	3022	22809
117	3056	22849
118	3084	22838
119	3110	22811
120	3136	22781
121	3157	22725
122	3173	22624
123	3189	22534
124	3199	22395
125	3213	22292
126	3228	22190
127	3243	22093
128	3261	22023
129	3281	21961
130	3296	21867
131	3311	21773
132	3325	21679
133	3340	21589
134	3355	21501
135	3371	21416
136	3383	21310
137	3398	21228
138	3420	21188
139	3433	21090
140	3482	21213
141	3505	21178
142	3521	21103
143	3544	21071
144	3577	21092
145	3591	21010
146	3617	20991
147	3640	20954
148	3663	20920
149	3691	20920
150	3717	20902
151	3737	20853
152	3762	20828
153	3785	20793
154	3808	20764
155	3833	20738
156	3855	20700
157	3874	20648
158	3883	20542
159	3922	20592
160	3947	20571
161	3970	20539
162	3998	20534
163	4023	20508
164	4047	20480
165	4061	20405
166	4078	20345
167	4101	20311
168	4113	20226
169	4139	20208
170	4150	20123
171	4166	20055
172	4175	19961
173	4185	19870
174	4205	19825
175	4218	19748
176	4232	19681
177	4242	19591
178	4265	19564
179	4300	19591
180	4326	19578
181	4358	19587
182	4380	19556
183	4402	19522
184	4422	19484
185	4441	19435
186	4458	19382
187	4474	19324
188	4490	19270
189	4512	19237
190	4528	19179
191	4549	19146
192	4578	19142
193	4600	19113
194	4633	19127
195	4649	19072
196	4665	19017
197	4697	19025
198	4711	18966
199	4729	18916
200	4739	18840
